intro,"October 12, 2008"
open
play,ending,common
cake,ending
layout,full
if,5,survived,chio
    action,1_drawer-chio
else,5
    if,8,survived,kazu
        action,1_drawer-kazu
    else,8
        action,1_drawer-none
    end,8
end,5

# fx,dingdong
# BGMの代わりに、ドンドン扉を叩く音が周期的に聞こえる
# play,door_banging

wait,2
m,I hear a doorbell from beyond the drawer. The first sound I've heard from outside.

if,9,survived,chio
chio,I can't believe it. Help really came...
else,9
akari,Help really came...
end,9

if,28,survived,chio
    action,2_open-chio
else,28
    if,32,survived,kazu
        action,2_open-kazu
    else,32
        action,2_open-none
    end,32
end,28

wait,8

if,36,survived,chio
    action,g3_desk-chio
else,36
    if,44,survived,kazu
        action,g3_desk-kazu
    else,44
        action,g3_desk-none
    end,44
end,36
wait,2

saeko,...I knew this would happen.

if,47,survived,chio
    action,g3.1_cover-chio
else,47
    if,57,survived,kazu
        action,g3.1_cover-kazu
    else,57
        action,g3.1_cover-none
    end,57
end,47
wait,6

action,g3.5_saeko-normal
# 140 * 3 (現在のBasicSlideはdayPixelによる指定しかできないため)
slide,top,420
wait,11

action,g3.5_saeko-normal|g3.5_saeko-vocal
saeko,"...Rin. Now, we can talk on the same level."

saeko,"As long as I have you, I don't care what happens to this world."

saeko,If you feel the same way...

action,g3.5_saeko-serious|g3.5_saeko-vocal
saeko,Destroy everything with me.

play,ending,p
slide,reset
if,60,survived,chio
    action,g4_desk-chio
else,60
    if,86,survived,kazu
        action,g4_desk-kazu
    else,86
        action,g4_desk-none
    end,86
end,60

finger

goto,basic,ending_g2
