# 自殺エンド
play,postend,piano
cake,postend
layout,ribbon
postendbg
action,1_room-atonement
center,"
March 10, 2009"

slide,right,1060
wait,44

know,radio
radio,"Now, for the news."

radio,The UN has announced that beta-noxenis emissions have drastically dropped worldwide. Wildlife has returned to many areas across the globe where the pollution has disappeared...

# debug,"以下、救おうとしたキャラクター1人ずつに対して流れる。
# 具体的な条件はCSVコメントを参照"
#
# # 条件: 1日目昼、モコにご飯をあげるシーンで意図的に1度失敗する
# radio,"More young people are pursuing medicine. According to one doctor's analysis, this is due to the mental health of young doctors greatly improving in the past few years..."
#
# # 条件: 1日目昼、モコにご飯をあげるシーンで意図的に1度失敗する
# radio,"Yesterday, the world's largest doujin event took place in Tokyo. The participants have become more diverse, and the percentage of female creators increases by the year..."
#
# # 条件: 6日目昼、チオにご飯をあげる前に1度失敗する
# radio,"Sexual harassment in the workplace has become more common in Japan over the last few decades. Steps have been made in recent years, with mental healthcare programs for victims..."
#
# # 条件: 6日目昼、チオに迷うことなくご飯をあげる
# radio,The Kotobishi group has revised its earnings forecast upward in response to a strong performance overseas. Radical reforms to expunge old-fashioned business practices are bearing fruit...
#
# # 条件: 2日目昼、一度マルにご飯を与えず発狂させる
# radio,"There is a boom of so-called ""crafting men"" who sew and dress up for fun. Here we speak with men shopping at Tokyo's largest crafting shop, Yozawaya..."
#
# # 条件: 5日目昼までキナを生き残らせる
# radio,"The Japanese metal band Ningen Tsukue has broken records on overseas music charts. While their popularity is booming, the band has said ""Fuck the media"" and refused interviews..."
#
# # 条件: 5日目昼までユイを生き残らせる
# radio,"An indie band's song ""YOU AND I"" has been popular lately. Sung by a former idol, it has been a source of discourse due to its lyrics portraying a twisted love in a positive light..."
#
# # 条件: 5日目昼までシモンを生き残らせる
# radio,"The Japan Literature Museum's exhibit ""Cell Phone Novels: A New Form of Literature"" has begun. In recent years, cell phone novels have been reevaluated by the literary world..."

wait,2

action,1_room-atonement|ring
fx,call_vibe
wait,2

action,1_room-atonement
wait,1

action,1_room-atonement|pick
fx,call_receive
wait,2

action,1_room-atonement|phone
akari,"Rin, it's been a while. How have you been?"

rin,...Well enough. How about you?

akari,"Normal, I guess. I sometimes dream about scuba diving, but that's about it. I'm probably doing better than you though."

akari,I saw the article in the weekly magazine. That Kazu is the worst. I can't believe he exposed what you did in the drawer in such an awful way...

akari,"I'm worried about you, Rin. Can I go visit you some time?"

rin,...No.

akari,No matter what?

rin,Yeah.

akari,Okay...

akari,"...I went back to university, you know."

akari,My life outside is all back to normal. All of it. I just had to redo half a year's worth of courses.

akari,But it's no good. Something's changed inside me.

akari,"Even if I read books I like or make small talk with people, I keep thinking that this isn't what I survived for."

akari,"Does anything like that ever cross your mind, Rin?"

rin,...

akari,"There's been a lot of cheerful news lately, hasn't there?"

akari,"The beta-noxenis pollution emissions everywhere had been terrible, but they just disappeared one day."

akari,"Weird, isn't it? Apparently, the water that was polluted with it just disappeared one day, like it had been...shrunk."

rin,...

akari,It doesn't matter. I just mentioned it because it was on my mind. Anyway...

akari,"If you ever want somebody else's help, just let me know."

rin,...

rin,"...Thanks, I'll keep that in mind. See you around."

action,1_room-atonement|open
wait,2
fx,call_end
play
wait,3

slide,reset
layout,full
open
fx,postend_atonement
action,2_atonement
wait,13

achieve,ENDING_ATONEMENT
clear,atonement
center,"
END"

goto,preface,
