# 自殺エンド
play,postend,nopiano
cake,postend
layout,ribbon
action,1_room-suicide
postendbg
center,"
April 10, 2009"


slide,right,1060
wait,49

action,1_room-suicide|ring
fx,call_vibe
wait,2

action,1_room-suicide
wait,1

action,1_room-suicide|pick
fx,call_receive
wait,2

action,1_room-suicide|phone
akari,"Rin, it's been a while. How have you been?"

rin,...Well enough. How about you?

akari,"Normal, I guess. I sometimes dream about scuba diving, but that's about it. I'm probably doing better than you though."

akari,Did you see the article in the tabloids? They called Saeko the most seductive mass murderer in all of history. The outside world's the worst.

akari,I want to talk to you again. Can I go visit you some time?

rin,...No.

akari,No matter what?

rin,Yeah.

akari,Okay...

akari,"...I went back to university, you know."

akari,My life outside is all back to normal. All of it. I just had to redo half a year's worth of courses.

akari,But it's no good. Something's changed inside me.

akari,"When I go out with friends or make small talk with people, I end up thinking about stuff I shouldn't."

akari,"Like, what face would this person make if I kill them now? Part of me's still stuck inside that drawer."

akari,...

akari,It's fine. I just said that since I can't talk to anybody about this besides you.

akari,"...If you ever want to talk to someone, just let me know."

rin,...

rin,"...Thanks, I'll keep that in mind. See you around."

action,1_room-suicide|open
wait,2
fx,call_end
play
wait,3

slide,reset
layout,full
open
fx,postend_suicide
action,2_suicide
wait,8

achieve,ENDING_SUICIDE
clear,suicide
center,"
END"

goto,preface,
