skit,1
bg,black
survivor,add,maru
survivor,add,kina
item,add,milk

# 夢：冴子に飲み込まれるシーンの隠喩（口の中）

m,"In the sea on a stormy night, I float alone on the surface of the dark waters."

m,"Instead of stars, endless rows of cumulus clouds cover the sky."

m,The pale light of the full moon peeks out from between two rows. Its brilliance makes me blink...

m,"Then, several moons fill my vision. They form an arc, like beads on a string."

m,"The water acts as a mirror, reflecting the round lights to encompass the world above and below with dozens of moons."

m,"Suddenly, a huge wave appears. The current carries my body toward one of the moons."

m,Just as the harsh white light pouring down is about to pierce through my body--

m,The ocean floor opens up and I swirl down the whirlpool. I reach up with all my might and touch something soft...

flash
play,day,supervisor
chio,"Rin... Ah, that's..."

bg,room,quake,heavy
rin,AAAHHH!!!!!!!

m,I leap up with a start and find Chio plopped down on the flat floor in front of me.

show,chio,smile
chio,"Good morning, Rin. And..."

show,chio,weaksmug
chio,How was it sleeping with me?

rin,...!!!

m,The corners of Chio's lips turn up as she smooths out the creases in her long skirt.

chio,Look at the mess you've made... Did sleeping with me feel that good?

m,I hurriedly inspect myself. There are traces of saliva around my mouth.

rin,"Um... I just had my head on your lap and fell asleep. That's all that happened, right?"

show,chio,smug
chio,"Teehee, let's go with that. It'd make you feel better, wouldn't it?"

rin,No way...

show,chio,weaksmug
chio,...Pfft! Ahahahaha!

show,chio,smile
chio,It's just a joke. The only things that touched were your head and my lap. You can relax.

chio,"It looked like you were having trouble sleeping, so I took matters into my own hands. So? Did you sleep a little better?"

rin,"Er, I guess I slept fine, but I had a strange dream..."

show,chio,normal
chio,A strange dream?

flash
show,chio,normal
chio,...Stranger than reality?

rin,"Reality, huh..."

m,I find myself at a loss for words.

health,rin,-10
rin,"Oh, right! I became the supervisor, Saeko came back, a-and then, Moko and Taki..."

show
m,"I can see two images vividly in my mind--the sudden deaths of Moko and Taki, who had grown familiar to me."

m,"Moko had been tossed into Saeko's mouth like a snack. Taki had been crushed between Saeko's fingers, his remains promptly removed by a tissue."

m,"I'd watched their lives end so swiftly from the drawer beneath them. To be honest, I still can't quite believe it."

m,"But no matter how I search for them in the dim drawer, they are nowhere to be found..."

rin,Are the two of them really dead...?

flash
show,chio,smile
chio,What else would they be?

rin,...Huh?

chio,"You saw what happened to Taki, and Moko must be digested by now. There aren't any doctors here to perform an autopsy, let alone any bodies to be autopsied."

m,Chio's tone is incredibly matter of fact.

rin,How can you be so...

chio,I mean... That's just how it is.

rin,How can you say that?

show,chio,normal
chio,...*sigh* I suppose this is a good chance to explain things properly.

chio,"I'm sure you already know this, but Saeko raises little people for her own purposes."

chio,Protection? That's a bald-faced lie. She uses some kind of magic to shrink people that catch her eye around town and brings them back here.

show,chio,tense
chio,"Sometimes she just watches or plays with them, like dolls in a dollhouse, but her main goal is to eat them."

chio,She stores the little people she catches in this drawer. Just like how you might clean sand from clams or keep crabs in a box.

rin,Why are both of your examples seafood?

show,chio,weaksmug
chio,Because they're both better fresh.

rin,...

show,chio,normal
chio,Do you remember what Taki said yesterday? About how the supervisor's job is to give items to the little people in the drawer.

show,chio,tense
chio,"It isn't completely true, but it isn't completely false either."

show,chio,normal
chio,The supervisor's main goal is to raise appealing little people that Saeko will want to eat right up.

chio,"By appealing, I mean tasty."

chio,"If you give a little person food, they'll become more appealing. Maybe they'll be more energetic, or they'll have a bit of extra flavor."

chio,"When their Appeal reaches 50, Saeko will eat them."

show,chio,tense
chio,Fattening up a little person until they're yummy enough to give to Saeko--that's your real job as the supervisor.

rin,...

rin,"Yesterday, when Taki kept trying to make me give Moko the peanut..."

show,chio,smile
chio,Yup. That was to increase the glasses girl's Appeal and have Saeko eat her up.

health,rin,-15
rin,"Th-Then, if I hadn't given Moko the peanut, she wouldn't have been killed?"

show,chio,serious
chio,No. I already told you--it's the supervisor's job to raise appealing little people.

chio,"If you don't do your job and nobody makes yummy little people, Saeko will get mad. And she'll kill all of us."

chio,She threatened Taki with that before...and I don't think she was lying.

rin,...

show,chio,tense
chio,Think of it this way.

show,chio,smile
chio,You chose the only method that could save the other little people without making Saeko angry.

