skit,1
survivor,add,kazu
item,add,cake
bg,black
m,I return to the center of the cold drawer.

m,I hear neither the sound of the wind nor the waves lapping the shore. Only the terrible silence of the drawer.

m,Even the faint sound of my heartbeat feels like it might stop at any moment.

bg,room,fade,in

m,...

m,There is someone new in the drawer.

rin,(Should I go talk to them like I always do...?)

m,I get up and try to walk over.

m,But I can't find the strength. I fall on my knees and then on to the floor.

play,day,supervisor
m,The wood is hard. Maybe I'll just lie down forever...

show,kazu,shadow
kazu,Hey.

m,...

kazu,"Heeey, you alright over there? I heard a huge thump."

kazu,"You're not hurt, are you? I'll head over now to check on you! Don't force yourself to move or anything. Just wait right there."

show
m,"I hear loud, heavy footsteps. The footsteps of somebody who isn't used to living here yet."

show,kazu,smile
know,kazu
kazu,How are you doing? I'm Kazu. It's nice to meet you. Are you doing okay?

show,kazu,serious
kazu,You look like you're down in the dumps. Why are you so depressed?

rin,...

rin,Sorry.

show,kazu,surprised
kazu,Huh? You don't have to apologize.

show,kazu,smile
kazu,"Oh, could you tell me your name? We'll be living here together, so I'm sure it'll come in handy."

rin,...

rin,Rin.

# クララがリンを捜索していた、という話外の世界で広まっているため
show,kazu,surprised
kazu,"Rin! So, you're Rin. I guess you're the type that's popular with the ladies nowadays."

rin,...?

show,kazu,smile
kazu,"Ah, don't worry about that. Just talking to myself."

kazu,"Sorry to ask you this when you're down, but could you help me out a bit?"

show,kazu,normal
kazu,"I'm trying to profile Saeko. Wait, do I need to explain what profiling is? You know what I mean, don't you?"

rin,...

kazu,You don't know? My bad! Profiling is when you use things around a person to analyze their personality.

kazu,"I want you to help me find something that'll help me understand her! Something she's used for a long time, which might show what she likes. That'd be perfect."

rin,...

skit,2
pick
m,"The newcomer, Kazu, wants me to find something that will show what Saeko likes. Apparently, he wants to profile her... But is there any point?"

label,2,other,other
show,kazu,surprised
kazu,"Hey, Rin. Where on earth are you headed?"

show,kazu,smile
kazu,"I know you're tired, but I want you to bring me something. Help a man out!"

rin,...

jump,back

label,2,kazu,other
rin,...

m,I look at what I have in my hands. How would this help somebody understand Saeko?

rin,...

rin,"(This is a pain. I want to just give him something and get this over with, but...)"

show,kazu,smile
m,I glance at Kazu. His eyes are filled with anticipation.

show
rin,(I guess I should do this properly.)

jump,back

label,2,kazu,ipod
rin,...Here.

show,kazu,smile
kazu,"Oh, thanks! I know you're tired--I appreciate it. An iPod, eh?"

kazu,"It's not as good as a cell phone, but it's still perfect for profiling. Music really shows a person's interests, you know."

show,kazu,serious
kazu,"Hmm, let's look at the song list... Oh, I see..."

show,kazu,surprised
kazu,Hm... Oh-ho... Interesting...

show,kazu,smile
kazu,"Well, that's just what I expected. There aren't any popular J-pop songs in here. No artists like SNAP or Azumi Hamamatsu."

kazu,Only boring nameless instrumental songs. It fits right with the image of a lonely and introverted girl.

rin,...

kazu,"Thank you, Rin. By the by, you've been here for a while, right? What kind of girl does Saeko look like to you?"

rin,...Who knows?

show,kazu,serious
kazu,"My, what happened to you? Oh, I know. You must have suffered from being here for so long."

show,kazu,smile
kazu,...But you don't have to worry. Saeko will be caught soon. Help will be here shortly.

rin,...

rin,...And?

show,kazu,surprised
kazu,"""And?"" That's all you have to say? Here I thought you'd be crying in happiness."

show,kazu,serious
kazu,"But let's put that aside for now. I'm actually a magazine reporter, and for a while, I've been following a series of disappearances... the Vanishing Incidents."

kazu,"I'd gone to the house of somebody relevant to the case for an interview, but I ended up getting caught myself."

rin,Somebody relevant to the case...?

show,kazu,crazy
kazu,"Oh, do you want to know? Of course, I mean Saeko. I say relevant, but the police are already calling her the culprit internally."

show,kazu,serious
kazu,You'll recall the incident three days ago where the Kotobishi girl vanished. That really got the investigation going.

# SPは複数
show,kazu,smile
kazu,"I mean, she's the daughter of a very wealthy family. Even when she's walking around alone, she always has undercover security watching her."

show,kazu,serious
kazu,"When she disappeared, there wasn't anybody suspicious nearby, or any cars. Just a female university student."

kazu,"No matter how you look at it, that girl's suspicious."

kazu,But I can't believe somebody who'd covered her tracks so well is getting caught so easily...

rin,...

show,kazu,normal
kazu,"It's still not clear how she does it, and there's no warrant or evidence..."

show,kazu,serious
kazu,But this is a clue for the Vanishing Incidents that have been tormenting the cops for years. They can't let this go.

kazu,The investigation's perfect and the media are already in on it. The first search will probably start tomorrow morning.

show,kazu,smile
kazu,So? I bet you're pleased as punch. You'll finally be free! You can go see your family on the outside.

rin,...

show,kazu,serious
kazu,"Or do you have a case of that--what's it called? Stockholm syndrome? If so, your head must be whirling right now."

rin,"...I got it, but you're too loud. Could you go away for now?"

flash
show,kazu,crazy
kazu,Hmph... It looks like you're in need of some counseling.

show,kazu,normal
kazu,"Well, I'm sure you need some time to organize your thoughts. I'll leave you alone for now."

show,kazu,crazy
kazu,"But come back when you've calmed down! The last act begins tomorrow morning, and I'm getting an interview with you before then!"

play
show
m,"After shouting that, Kazu walks away."

rin,...

m,"I throw my back on to the flat floor and lie down. With Chio and Clara gone, the drawer feels multiple times larger than usual."

m,Kazu frowns as he fiddles with the iPod in the distance. It has a playlist full of boring nameless songs that he can't understand.

m,"According to him, the outside world is coming for Saeko, and the police will search the premises tomorrow morning."

m,"That means, if I live through this night, Saeko will be caught tomorrow morning..."

rin,(...Then what?)

rin,(If I can go back to the outside world... What happens next?)

rin,"(Plus, there are the others. And Saeko. What happens to us?)"

play,day,sax
rin,...

rin,(But...)

rin,"(Honestly, I don't want to think about anything.)"

rin,"(If I could just disappear from this world, one sense blurring away at a time...)"

m,...

m,....................................

show,akari,normal
akari,...Rin.

rin,...!

akari,Morning. Were you listening to that guy?

rin,That guy?

show,akari,disgusted
akari,"Yeah, that shady man calling himself a magazine reporter. I told him to get lost, but he kept talking to me anyway."

akari,"He wore me down, and I ended up telling him what Saeko's done to me. He got all worked up. Said it was the obscenest torture in all of human history..."

rin,...

show,akari,normal
akari,"...Rin, what are you going to do with him?"

rin,What...?

show,akari,disgusted
akari,I hate him. I wish he'd die.


flash
akari,Why don't you give him that cake? Tell him it's a present. Then it'd be curtains for him this evening.

show,akari,jitome
akari,"He can get worked up all he wants in Saeko's stomach. ""EXCLUSIVE! View From the Delicate Insides of a Giant Man-Eating Girl"" or whatever."

akari,"He can come up with a sensational title while shoulder-deep in stomach acid, but he can't think his way out of his brain cells getting melted."

show,akari,smile
akari,"The police are coming tomorrow morning. The two of us can escape then. He won't even leave a body. What do you think? The perfect plan, right?"

rin,...

show,akari,normal
akari,"...Hey, Rin. What did you think of what I said just now?"

rin,Um... About what to do with Kazu?

show,akari,disgusted
akari,No.

flash
show,akari,normal
akari,"Even if we get out of here, we can't have a happy ending."

rin,...!

akari,I don't plan on lecturing you. I hate lectures myself.

show,akari,disgusted
akari,But if tomorrow comes and we get out of here safely... Can you really accept that? Can you return to your past life just like that?

rin,...

show,akari,normal
akari,Just think about it.

akari,The things you did here. How you might be able to get out of here tomorrow. And your current relationship with Saeko.

akari,Then...

akari,What do you think you should do now?

rin,...

show,akari,jitome
akari,"...Anyway, that's all I wanted to say."

akari,Think for yourself and make a decision that you can accept. I don't care even if we all end up dead because of it.

skit,3
pick
play
m,The time for me to feed somebody as the supervisor has come... The rules: Make a little person have at least 50 Appeal. Make sure no little people have 0 or worse Health. What should I do?

label,3,kazu,cake
m,I pick up the cake and approach Kazu.

play,day,feed
rin,...Kazu. Could you eat this for me?

show,kazu,smile
kazu,Oh! Oh-ho!

kazu,"Thank you. I've had my eye on this since I got here. I've got a real sweet tooth, you see..."

