skit,1
play,night,casual
cake,desk-down
action,study
wait,normal,2

skit,2
action,idle
q,doushitano,doushitano|nop
s,,...Haaah.

label,2,nop
cake,desk-up
wait,serious,2

skit,2a
q,sorry,sorry
s,serious,...That was a sigh just now. At least look a little worried about me.

label,2a,sorry
cake,desk-down
allow,yes,yes
s,serious,Honestly...
jump,3

label,2,doushitano
action,idle
wait,,1
allow,yes,yes
s,,Anyway.

skit,3
action,study
allow,yes|naruhodo,yes|naruhodo
s,,The new TV show wasn't that great. I just felt tired after watching it.

skit,4
allow,yes|hee,yes|hee
s,,The main character is a young doctor. He rides helicopters to help people injured in the field.

allow,yes|naruhodo,yes|naruhodo
s,,"Wherever he goes, something always comes up, forcing him to make a hard decision..."

action,drink
allow,yes|naruhodo|hee,yes|naruhodo|hee
s,,He always makes this serious look that the audience eats right up. Everyone's watching weekly.

skit,5
action,drink-down
q,kimiwa,kimiwa|nop
s,,...

label,5,nop
allow,yes,yes
s,,But it's kind of exhausting.
jump,next

label,5,kimiwa
skit,5a
action,drink-down
q,yes,yes
s,,Me?

label,5a,yes
action,patapata
allow,yes|naruhodo,yes|naruhodo
s,,"...Mm, it does get tiring."
jump,6

skit,6
action,idle
allow,yes,yes
s,,It just feels too fake.

allow,yes|sou,yes|sou
s,,"I can see why everyone gets emotional, but that's all I get out of it."

skit,7
q,music|book|drama,music|book|drama
s,,I think I prefer calmer music and books.

label,7,drama
action,nearhand
s,,*sigh* I'm done talking about that.

dead

label,7,music
allow,naruhodo,naruhodo
s,,"Yes, I might play a Rachmaninoff concerto in the background while reading a lovely story."

jump,7a


label,7,book
allow,hee|naruhodo,hee|naruhodo
s,,"Yes. I have many books, but I'll read anything if it interests me."

wait,,2

skit,7a
cake,desk-up
wait,normal,1
q,why,why|nop
s,normal,I read cell phone novels too...but they're not exactly my cup of tea.

label,7a,why
label,7a,nop
allow,hidoi|naruhodo,naruhodo
s,bored,"One-sided love stories, being dumped... They're all like that, and it just doesn't click for me."

jump,8

skit,8
cake,desk-down
wait,,2

action,patapata
allow,yes|hee,yes|hee
s,,"I prefer things less realistic, like fantasy that isn't based on science."

action,idle
allow,yes|no|soudane,yes|soudane
s,,This world isn't simple enough to be explained by science.

skit,8a
action,tonton
q,yes|no|soudane,yes|soudane
s,,"I mean, look at you. You're tiny now."

label,8a,yes
label,8a,soudane
wait,,2
cake,desk-up
action,
wait,tilted,1
allow,yes,yes
s,tilted,...Hey.

skit,9
q,yes|no,yes|no
s,tilted,"If this were a fantasy world, would I be the villain?"

label,9,yes
action,tonton
allow,yes|sorry,yes|sorry
s,serious,I see...

action,idle
skit,9a
q,sukoshi|yes,sukoshi|yes
s,bored,"...Teehee. I really look it, don't I?"

label,9a,sukoshi
label,9a,yes
allow,sou|yes,sou|yes
s,normal,"Well, I've no intention of saving the world at all."

allow,sonna|sugoi,sonna|sugoi
s,tilted,Though I'm a bit intrigued by the idea of destroying it...

wait,tilted,2

allow,yes,yes
s,tilted,...Wouldn't you want to see it?

object,add,kaiju

skit,9b
q,yes|no,yes|no
s,tilted,"Me, wrecking the world like in a monster movie."

label,9b,yes
allow,yes,yes
s,tilted,Really? I'll keep that in mind.

allow,yes|no,yes
s,tilted,Whatever happens next will all be your fault... Just kidding.

jump,10a

label,9b,no
allow,yes,yes
s,serious,Oh...

allow,yes|no,yes
s,normal,"Well, if I ever head down that path, come as a hero of justice."

allow,yes|no,yes
s,tilted,Hopefully you'll be able to win as easily as they do in the children's movies.

jump,10a

label,9,no
allow,yes,yes
s,bored,...Teehee. That's nice of you.

jump,10b

skit,10a
cake,desk-down
action,patapata
wait,tilted,2

allow,yes,yes
s,,Now I want to watch something. Where's the DVD...?

cake,desk-up
wait,normal,1
allow,yes|no,yes
s,normal,"Come over here, Rin."

allow,yes|no,yes
s,normal,Join me by the TV for a change.

goto,midnight,today

skit,10b
cake,desk-down
action,patapata
wait,,2

action,idle
allow,yes,yes
s,,...Now I want to read something.

allow,yes,yes
s,,"Let's leave it at that for today, Rin."

allow,thanks|oyasumi,thanks|oyasumi
s,,Good night. Rest well today.

goto,midnight,today
